t 1 2 3 4 jF0004 jxH0402 jyH0402 jV0300 erroc errol erro dt rep
8.1100000000e-01 2.59008 3.39948 3.39948 2.59008 1.78068 1.78068 -0.08094 -0.72846 -12 -12 -12 -2 0
8.2100000000e-01 2.4096 3.16261 3.16261 2.4096 1.6566 1.6566 -0.0753001 -0.677701 -12 -12 -12 -2 0
8.3100000000e-01 2.23646 2.93535 2.93535 2.23646 1.53756 1.53756 -0.0698893 -0.629004 -12 -12 -12 -2 0
8.4100000000e-01 2.07125 2.71852 2.71852 2.07125 1.42398 1.42398 -0.0647266 -0.582539 -12 -12 -12 -2 0
8.5100000000e-01 1.91456 2.51285 2.51285 1.91456 1.31626 1.31626 -0.0598299 -0.538469 -12 -12 -12 -2 0
8.6100000000e-01 1.76691 2.31907 2.31907 1.76691 1.21475 1.21475 -0.0552159 -0.496943 -12 -12 -12 -2 0
8.7100000000e-01 1.6288 2.1378 2.1378 1.6288 1.1198 1.1198 -0.0509001 -0.458101 -12 -12 -12 -2 0
8.8100000000e-01 1.50069 1.96965 1.96965 1.50069 1.03172 1.03172 -0.0468965 -0.422069 -12 -12 -12 -2 0
8.9100000000e-01 1.38297 1.81515 1.81515 1.38297 0.950794 0.950794 -0.0432179 -0.388961 -12 -12 -12 -2 0
9.0100000000e-01 1.27602 1.67477 1.67477 1.27602 0.877263 0.877263 -0.0398756 -0.35888 -12 -12 -12 -2 0
9.1100000000e-01 1.18014 1.54893 1.54893 1.18014 0.811346 0.811346 -0.0368794 -0.331914 -12 -12 -12 -2 0
9.2100000000e-01 1.09561 1.43798 1.43798 1.09561 0.753229 0.753229 -0.0342377 -0.308139 -12 -12 -12 -2 0
9.3100000000e-01 1.02264 1.34221 1.34221 1.02264 0.703063 0.703063 -0.0319574 -0.287617 -12 -12 -12 -2 0
9.4100000000e-01 0.961407 1.26185 1.26185 0.961407 0.660967 0.660967 -0.030044 -0.270396 -12 -12 -12 -2 0
9.5100000000e-01 0.912042 1.19705 1.19705 0.912042 0.627029 0.627029 -0.0285013 -0.256512 -12 -12 -12 -2 0
9.6100000000e-01 0.874618 1.14794 1.14794 0.874618 0.6013 0.6013 -0.0273318 -0.245986 -12 -12 -12 -2 0
9.7100000000e-01 0.849164 1.11453 1.11453 0.849164 0.5838 0.5838 -0.0265364 -0.238827 -12 -12 -12 -2 0
9.8100000000e-01 0.835662 1.09681 1.09681 0.835662 0.574518 0.574518 -0.0261144 -0.23503 -12 -12 -12 -2 0
9.9100000000e-01 0.834046 1.09469 1.09469 0.834046 0.573407 0.573407 -0.026064 -0.234576 -12 -12 -12 -2 0
